"";"puser";"age";"gender";"educ"
"1";"tqLPSL";20;0;3
"2";"EPtBiB";18;0;2
"3";"EPotPo";52;0;2
"4";"fqEoq";70;0;3
"5";"EqqtPi";53;0;2
"6";"EPoLoE";70;0;3
"7";"EoiqfL";48;1;2
"8";"EqLPEo";39;1;3
"9";"EofSqi";70;0;3
"10";"EEfiSq";40;1;2
"11";"tPtiPS";69;0;2
"12";"iSqSit";36;1;1
"13";"fLBEP";50;1;2
"14";"tfPoof";62;1;3
"15";"iPfiSq";64;1;3
"16";"EqfLqE";30;0;2
"17";"iiqBSt";61;1;3
"18";"iiioES";72;0;4
"19";"tfftSo";55;0;4
"20";"tfBEfo";62;0;2
"21";"EqSiiE";62;1;3
"22";"EqPPt";65;0;4
"23";"tftLqE";63;1;2
"24";"tftLqE";63;1;2
"25";"iLiBoE";49;1;4
"26";"LofPo";66;1;3
"27";"ifitB";61;0;3
"28";"ioSqfE";60;0;3
"29";"iPiES";63;0;2
"30";"iLtL";63;1;4
"31";"qqPBB";79;1;4
"32";"tqoEoP";64;0;3
"33";"tEBSoB";60;1;3
"34";"tLLiqo";66;0;3
"35";"ttLBEP";63;0;4
"36";"fBBtL";74;0;4
"37";"EqtEEP";71;0;4
"38";"iiftBf";65;1;3
"39";"tooLto";71;0;4
"40";"tEESEL";64;0;4
"41";"iqPE";60;1;3
"42";"tLLLiL";62;1;2
"43";"SoSoq";70;0;4
"44";"fSPiP";65;1;3
"45";"LBoPf";68;1;4
"46";"tiSSES";74;1;3
"47";"LLPtq";38;1;3
"48";"foitq";70;1;2
"49";"iLPitE";36;0;3
"50";"EPSEtf";70;1;4
"51";"BiiqP";68;1;3
"52";"tfoqtB";64;1;4
"53";"itPff";62;0;4
"54";"iqEiPS";51;1;2
"55";"EPfPiS";65;0;1
"56";"Sfqq";65;0;0
"57";"fiqLq";70;0;4
"58";"tSqPqt";68;1;4
"59";"tPPLPL";66;1;4
"60";"iiLiBL";70;0;3
"61";"EPqSio";50;0;2
"62";"ELBPqi";78;1;4
"63";"ESPiSL";42;0;3
"64";"tqtLoL";65;0;4
"65";"tBEtot";52;0;4
"66";"iqEiPS";51;1;2
"67";"tffPqP";59;1;1
"68";"tftLqE";63;1;2
"69";"EPqfPq";56;0;2
"70";"EPqfPq";56;0;2
"71";"iiqELf";58;1;3
"72";"tqfqtL";75;1;3
"73";"tLfiE";64;0;3
"74";"ttSPtS";69;1;3
"75";"qPBBE";55;1;4
"76";"iSEfP";65;0;3
"77";"tSSttf";61;1;4
"78";"EEPSBt";88;1;3
"79";"fqiSP";62;0;4
"80";"LfLtP";52;1;3
"81";"tiEtLf";57;0;2
"82";"LLStq";56;0;2
"83";"EqiBfB";72;0;3
"84";"ELioio";39;1;3
"85";"EPiBPS";54;0;1
"86";"ELPtoi";59;0;3
"87";"EfPoqP";52;0;4
"88";"EPfiSo";51;1;2
"89";"EEqfqL";60;1;3
"90";"Btiff";58;1;3
"91";"ESSfBP";62;1;3
"92";"ESSSff";66;0;3
"93";"iLqBfo";50;0;3
"94";"ELBPqL";50;1;3
"95";"EBBoBf";53;0;3
"96";"EPfiSS";65;1;3
"97";"PLtEi";66;0;3
"98";"fSLio";51;1;3
"99";"fSPEi";67;0;3
"100";"EPiqEL";60;0;3
"101";"EPqBBS";31;0;2
"102";"EfLEBt";74;1;4
"103";"iEEiL";51;1;3
"104";"toiqSB";63;1;3
"105";"toLqti";68;0;3
"106";"qqSBB";53;0;2
"107";"tPtiPS";69;0;2
"108";"tttE";61;0;3
"109";"tqoLoS";45;0;2
"110";"iqSEBS";51;1;2
"111";"iLiPLo";40;0;4
"112";"SEPLL";63;1;4
"113";"ESLtEq";26;1;2
"114";"titELP";62;1;4
"115";"ESSLSB";44;0;2
"116";"ttiftf";43;0;2
"117";"tBSftP";30;0;2
"118";"iotifi";43;0;4
"119";"tBEB";31;0;2
"120";"BoEPS";38;1;3
"121";"EqStqP";19;0;1
"122";"iLiff";40;1;3
"123";"tEBqEP";44;1;4
"124";"EBPEtS";32;0;4
"125";"EBqqBS";61;1;2
"126";"EPSPSP";34;0;1
"127";"tttqS";42;0;2
"128";"EEfiPP";52;1;2
"129";"LqfB";40;1;4
"130";"qfPfL";36;1;4
"131";"EPStqL";45;0;4
"132";"EfBSSL";44;1;4
"133";"iBSoPE";57;0;1
"134";"EffSEo";47;0;2
"135";"EoLPBB";52;1;2
"136";"itSoEt";44;1;4
"137";"ELtoS";36;0;4
"138";"Bfoqt";42;0;2
"139";"Sfoq";52;1;2
